ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度
221,龙岩市 - 菏泽市,111,136,6,2425.277053261574565
222,龙岩市 - 吕梁市,111,22,7,2651.784720393019597
223,龙岩市 - 秦皇岛市,111,341,8,2723.351443941475736
224,龙岩市 - 承德市,111,9,9,2781.800145724541835
225,龙岩市 - 张家口市,111,8,10,2795.544751460194675
226,龙岩市 - 邢台市,111,6,11,2902.109962322480442
227,龙岩市 - 烟台市,111,127,12,3015.804294651680266
228,龙岩市 - 新乡市,111,142,13,3128.118737777316255
229,龙岩市 - 三门峡市,111,147,14,3231.366676327957066
230,龙岩市 - 四平市,111,48,15,3271.924959938434313
231,龙岩市 - 安康市,111,290,16,3732.141028584287142
232,龙岩市 - 济源市,111,152,17,3784.708983956516477
233,龙岩市 - 恩施土家族苗族自治州,111,355,18,4695.089483044057488
234,龙岩市 - 曲靖市,111,261,19,4933.160372244304199
235,龙岩市 - 贺州市,111,211,20,5003.363890752828411
236,龙岩市 - 黄冈市,111,162,21,5015.525038205500096
237,龙岩市 - 拉萨市,111,364,22,5619.248431165005968
238,宁德市 - 宁德市,112,112,1,0.000000000000000
239,南昌市 - 南昌市,113,113,1,0.000000000000000
240,景德镇市 - 景德镇市,114,114,1,0.000000000000000
241,九江市 - 九江市,115,115,1,0.000000000000000
242,新余市 - 新余市,116,116,1,0.000000000000000
243,鹰潭市 - 鹰潭市,117,117,1,0.000000000000000
244,赣州市 - 赣州市,118,118,1,0.000000000000000
245,宜春市 - 宜春市,119,119,1,0.000000000000000
246,抚州市 - 抚州市,120,120,1,0.000000000000000
247,上饶市 - 上饶市,121,121,1,0.000000000000000
248,上饶市 - 萍乡市,121,351,2,458.225010179925903
249,上饶市 - 郴州市,121,177,3,827.080649435304622
250,上饶市 - 菏泽市,121,136,4,1714.603708187742313
251,上饶市 - 龙岩市,121,111,5,1799.198340665330079
252,上饶市 - 吕梁市,121,22,6,2393.649087061207865
253,上饶市 - 承德市,121,9,7,2434.034473721202630
254,上饶市 - 张家口市,121,8,8,2447.779079456855470
255,上饶市 - 秦皇岛市,121,341,9,2505.828221723934348
256,上饶市 - 邢台市,121,6,10,2554.470753554217936
257,上饶市 - 烟台市,121,127,11,2757.668661319868079
258,上饶市 - 新乡市,121,142,12,2780.479529009053749
259,上饶市 - 四平市,121,48,13,3054.401737720893379
260,上饶市 - 三门峡市,121,147,14,3103.381219739165317
261,上饶市 - 商洛市,121,291,15,3219.929538559099001
262,上饶市 - 安康市,121,290,16,3604.155571995495393
263,上饶市 - 济源市,121,152,17,3656.723527367724728
264,上饶市 - 恩施土家族苗族自治州,121,355,18,4436.953849712244846
265,上饶市 - 曲靖市,121,261,19,4577.162009079041127
266,上饶市 - 贺州市,121,211,20,4647.365527587563520
267,上饶市 - 黄冈市,121,162,21,4798.001815987962800
268,上饶市 - 拉萨市,121,364,22,5361.112797833191507
269,济南市 - 济南市,122,122,1,0.000000000000000
270,青岛市 - 青岛市,123,123,1,0.000000000000000
271,淄博市 - 淄博市,124,124,1,0.000000000000000
272,枣庄市 - 枣庄市,125,125,1,0.000000000000000
273,东营市 - 东营市,126,126,1,0.000000000000000
274,烟台市 - 烟台市,127,127,1,0.000000000000000
275,烟台市 - 吕梁市,127,22,2,1171.859647555771289
276,烟台市 - 菏泽市,127,136,3,1363.382848743437080
277,烟台市 - 承德市,127,9,4,1371.081676214602567
278,烟台市 - 张家口市,127,8,5,1384.826281950258590
279,烟台市 - 秦皇岛市,127,341,6,1435.011409776036089
280,烟台市 - 邢台市,127,6,7,1491.391492812541401
281,烟台市 - 新乡市,127,142,8,1717.400268267377214
282,烟台市 - 三门峡市,127,147,9,1951.148166508065970
283,烟台市 - 四平市,127,48,10,1983.584925772997167
284,烟台市 - 商洛市,127,291,11,2138.633457331241971
285,烟台市 - 萍乡市,127,351,12,2299.443651139939448
286,烟台市 - 安康市,127,290,13,2451.922518764395136
287,烟台市 - 郴州市,127,177,14,2496.224315163666688
288,烟台市 - 济源市,127,152,15,2504.490474136624925
289,烟台市 - 上饶市,127,121,16,2757.668661319866715
290,烟台市 - 龙岩市,127,111,17,3015.804294651675264
291,烟台市 - 恩施土家族苗族自治州,127,355,18,3215.164410206809407
292,烟台市 - 曲靖市,127,261,19,3462.865802902010728
293,烟台市 - 贺州市,127,211,20,3533.069321410532666
294,烟台市 - 黄冈市,127,162,21,3727.185004040061358
295,烟台市 - 拉萨市,127,364,22,4139.323358327757887
296,济宁市 - 济宁市,128,128,1,0.000000000000000
297,泰安市 - 泰安市,129,129,1,0.000000000000000
298,威海市 - 威海市,130,130,1,0.000000000000000
299,日照市 - 日照市,131,131,1,0.000000000000000
300,临沂市 - 临沂市,132,132,1,0.000000000000000
301,德州市 - 德州市,133,133,1,0.000000000000000
302,聊城市 - 聊城市,134,134,1,0.000000000000000
303,滨州市 - 滨州市,135,135,1,0.000000000000000
304,菏泽市 - 菏泽市,136,136,1,0.000000000000000
305,菏泽市 - 吕梁市,136,22,2,999.363274484776866
306,菏泽市 - 承德市,136,9,3,1039.748661144770040
307,菏泽市 - 张家口市,136,8,4,1053.493266880424926
308,菏泽市 - 秦皇岛市,136,341,5,1111.542409147505168
309,菏泽市 - 邢台市,136,6,6,1160.184940977784208
